kernel,prototypes,globaloptimization,gridsize,gridresolution,accuracy,stdA,maxF1score,stdF,areaunderROC,stdR,time,stdT
Linear,50,gs,2,0.55,0.764,0.0,0.698,0.0,0.689,0.0,9.023,0.557
Linear,50,gs,3,0.45,0.764,0.0,0.698,0.0,0.689,0.0,9.933,0.592
Linear,50,gs,4,0.35,0.764,0.0,0.698,0.0,0.689,0.0,12.187,0.298
RBF,50,gs,2,0.55,0.756,0.002,0.668,0.003,0.596,0.023,41.082,14.059
RBF,50,gs,3,0.45,0.759,0.008,0.704,0.034,0.617,0.184,53.779,3.565
RBF,50,gs,4,0.35,0.758,0.002,0.678,0.009,0.618,0.094,86.915,11.217
Polynomial,50,gs,2,0.55,0.756,0.001,0.668,0.002,0.505,0.056,36.064,3.478
Polynomial,50,gs,3,0.45,0.753,0.004,0.669,0.012,0.452,0.117,54.271,3.08
Polynomial,50,gs,4,0.35,0.747,0.013,0.667,0.001,0.42,0.075,98.455,10.061
Laplacian,50,gs,2,0.55,0.757,0.001,0.669,0.007,0.481,0.16,39.318,2.667
Laplacian,50,gs,3,0.45,0.761,0.013,0.68,0.014,0.637,0.08,60.076,5.784
Laplacian,50,gs,4,0.35,0.761,0.005,0.681,0.012,0.526,0.158,103.05,12.915
RBF,100,gs,2,0.55,0.757,0.001,0.676,0.023,0.567,0.12,73.78,9.813
RBF,100,gs,3,0.45,0.757,0.003,0.672,0.008,0.531,0.099,106.391,4.403
RBF,100,gs,4,0.35,0.755,0.005,0.676,0.024,0.5,0.194,150.163,13.694
Polynomial,100,gs,2,0.55,0.756,0.0,0.0,0.0,0.0,0.0,82.131,8.588
Polynomial,100,gs,3,0.45,0.756,0.0,0.0,0.0,0.0,0.0,119.084,6.842
Polynomial,100,gs,4,0.35,0.757,0.004,0.671,0.01,0.486,0.096,203.252,13.439
Laplacian,100,gs,2,0.55,0.757,0.001,0.668,0.001,0.575,0.058,99.229,11.334
Laplacian,100,gs,3,0.45,0.755,0.001,0.676,0.014,0.529,0.113,145.03,12.354
Laplacian,100,gs,4,0.35,0.762,0.005,0.674,0.006,0.561,0.167,221.745,13.37
RBF,200,gs,2,0.55,0.755,0.003,0.615,0.352,0.447,0.337,214.831,12.035
RBF,200,gs,3,0.45,0.758,0.004,0.232,0.379,0.224,0.372,321.246,22.744
RBF,200,gs,4,0.35,0.756,0.0,0.058,0.358,0.052,0.325,479.994,14.111
Polynomial,200,gs,2,0.55,0.756,0.0,0.0,0.0,0.0,0.0,242.182,12.325
Polynomial,200,gs,3,0.45,0.756,0.0,0.0,0.0,0.0,0.0,381.291,16.416
Polynomial,200,gs,4,0.35,0.756,0.0,0.0,0.0,0.0,0.0,641.61,27.328
Laplacian,200,gs,2,0.55,0.752,0.002,0.682,0.021,0.602,0.059,317.955,10.67
Laplacian,200,gs,3,0.45,0.754,0.002,0.687,0.016,0.469,0.094,481.726,18.635
Laplacian,200,gs,4,0.35,0.756,0.0,0.667,0.001,0.451,0.079,746.019,28.615
RBF,300,gs,2,0.55,0.756,0.0,0.0,0.0,0.0,0.0,442.796,2.066
RBF,300,gs,3,0.45,0.756,0.0,0.0,0.0,0.0,0.0,695.472,30.097
RBF,300,gs,4,0.35,0.756,0.0,0.0,0.0,0.0,0.0,1006.923,26.366
