kernel,prototypes,globaloptimization,gridsize,gridresolution,accuracy,stdA,maxF1score,stdF,areaunderROC,stdR,time,stdT
Linear,N.A.,gs,2,0.55,0.624,0.0,0.667,0.0,0.653,0.0,945.084,20.839
Linear,N.A.,gs,3,0.45,0.624,0.0,0.667,0.0,0.653,0.0,1284.482,27.841
Linear,N.A.,gs,4,0.35,0.624,0.0,0.667,0.0,0.653,0.0,1507.708,108.976
RBF,50,gs,2,0.55,0.514,0.009,0.667,0.0,0.438,0.047,2352.569,152.165
RBF,50,gs,3,0.45,0.511,0.006,0.668,0.001,0.467,0.016,4215.124,92.704
RBF,50,gs,4,0.35,0.513,0.004,0.667,0.0,0.454,0.012,7306.696,206.339
RBF,100,gs,2,0.55,0.516,0.004,0.668,0.001,0.446,0.012,2736.229,51.411
RBF,100,gs,3,0.45,0.513,0.001,0.668,0.001,0.438,0.025,5162.514,77.945
RBF,100,gs,4,0.35,0.51,0.005,0.667,0.001,0.435,0.024,9707.263,914.778
RBF,200,gs,2,0.55,0.519,0.006,0.667,0.0,0.46,0.015,8242.96,386.373
Polynomial,50,gs,2,0.55,0.521,0.007,0.668,0.001,0.447,0.032,2272.617,95.663
Polynomial,50,gs,3,0.45,0.516,0.004,0.667,0.001,0.442,0.025,4151.522,299.824
Polynomial,50,gs,4,0.35,0.521,0.007,0.667,0.0,0.458,0.036,6243.599,553.171
Polynomial,100,gs,2,0.55,0.52,0.003,0.667,0.0,0.473,0.018,2991.99,46.103
Polynomial,100,gs,3,0.45,0.53,0.016,0.667,0.001,0.484,0.02,5271.503,312.424
Polynomial,100,gs,4,0.35,0.521,0.005,0.667,0.001,0.474,0.039,10520.785,1200.765
Laplacian,50,gs,2,0.55,0.682,0.028,0.725,0.013,0.755,0.031,2144.282,29.124
Laplacian,50,gs,3,0.45,0.693,0.012,0.711,0.015,0.747,0.02,4029.492,43.372
Laplacian,50,gs,4,0.35,0.692,0.021,0.73,0.01,0.76,0.016,6905.343,116.567
Laplacian,100,gs,2,0.55,0.699,0.004,0.737,0.006,0.768,0.016,4535.487,525.434
Laplacian,100,gs,3,0.45,0.694,0.021,0.737,0.017,0.756,0.032,8416.604,1125.397
Laplacian,100,gs,4,0.35,0.703,0.014,0.74,0.007,0.77,0.021,13652.18,1507.549
