kernel,prototypes,globaloptimization,gridsize,gridresolution,accuracy,stdA,maxF1score,stdF,areaunderROC,stdR,time,stdT
Linear,N.A.,gs,2,0.55,0.716,0.0,0.664,0.0,0.412,0.0,6.037,0.606
Linear,N.A.,gs,3,0.45,0.716,0.0,0.664,0.0,0.412,0.0,7.750,0.809
Linear,N.A.,gs,4,0.35,0.716,0.0,0.664,0.0,0.412,0.0,10.164,0.857
RBF,50,gs,2,0.55,0.737,0.015,0.686,0.013,0.572,0.124,56.697,8.472
RBF,50,gs,3,0.45,0.736,0.016,0.686,0.014,0.516,0.125,93.265,2.685
RBF,50,gs,4,0.35,0.731,0.0210,0.684,0.018,0.483,0.225,153.472,3.270
RBF,100,gs,2,0.55,0.721,0.007,0.677,0.010,0.500,0.0718,196.819,5.706
RBF,100,gs,3,0.45,0.717,0.017,0.673,0.023,0.472,0.188,346.722,14.628
RBF,100,gs,4,0.35,0.718,0.007,0.670,0.005,0.557,0.096,549.974,2.158
RBF,200,gs,2,0.55,0.724,0.013,0.683,0.022,0.598,0.127,734.623,1.986
RBF,200,gs,3,0.45,0.719,0.016,0.673,0.017,0.535,0.063,1339.845,1.602
Polynomial,50,gs,2,0.55,0.717,0.013,0.670,0.012,0.515,0.138,53.954,4.470
Polynomial,50,gs,3,0.45,0.712,0.004,0.665,0.003,0.577,0.099,100.611,1.870
Polynomial,50,gs,4,0.35,0.716,0.005,0.669,0.004,0.408,0.118,183.198,2.923
Polynomial,100,gs,2,0.55,0.716,0.008,0.670,0.008,0.547,0.044,163.274,1.009
Polynomial,100,gs,3,0.45,0.711,0.005,0.665,0.003,0.477,0.119,320.734,0.521
Polynomial,100,gs,4,0.35,0.720,0.008,0.673,0.008,0.527,0.086,602.008,1.628
Laplacian,50,gs,2,0.55,0.727,0.029,0.687,0.044,0.585,0.203,63.497,2.506
Laplacian,50,gs,3,0.45,0.715,0.0157,0.670,0.024,0.405,0.258,115.859,2.676
Laplacian,50,gs,4,0.35,0.724,0.033,0.686,0.031,0.574,0.122,200.471,23.115
Laplacian,100,gs,2,0.55,0.720,0.018,0.677,0.026,0.584,0.137,215.171,0.497
Laplacian,100,gs,3,0.45,0.733,0.027,0.696,0.044,0.697,0.111,390.498,0.406
Laplacian,100,gs,4,0.35,0.733,0.064,0.689,0.071,0.459,0.219,635.436,1.037
